Order_ID,Order_Date,Region,Product,Quantity,Unit_Price,Sales_Amount,Payment_Method
ORD0116,2025-01-25,North,Keyboard,14,120,1680,Cash
ORD0117,2025-03-20,South,Keyboard,18,350,6300,Card
ORD0118,2025-07-26,West,Keyboard,6,25,150,Card
ORD0119,2025-10-11,East,Keyboard,18,120,2160,Bank Transfer
ORD0120,2025-08-30,West,Tablet,2,120,240,UPI
ORD0121,2025-03-24,West,Tablet,13,40,520,Cash
ORD0122,2025-02-02,East,Laptop,5,800,4000,Card
ORD0123,2025-06-05,North,Mouse,8,350,2800,Card
ORD0124,2025-05-20,North,Laptop,5,800,4000,Card
ORD0125,2025-08-04,South,Phone,15,350,5250,Cash
ORD0126,2025-06-02,South,Keyboard,12,75,900,Card
ORD0127,2025-08-06,South,Tablet,15,75,1125,Bank Transfer
ORD0128,2025-11-13,North,Monitor,4,40,160,Bank Transfer
ORD0129,2025-06-17,South,Phone,6,25,150,Bank Transfer
ORD0130,2025-08-05,South,Monitor,7,350,2450,UPI
ORD0131,2025-01-08,West,Monitor,15,120,1800,Bank Transfer
ORD0132,2025-02-24,North,Phone,15,350,5250,Card
ORD0133,2025-11-15,South,Mouse,20,40,800,Card
ORD0134,2025-07-08,North,Laptop,1,40,40,Bank Transfer
ORD0135,2025-10-05,West,Phone,1,40,40,Card
ORD0136,2025-04-28,North,Mouse,6,120,720,Cash
ORD0137,2025-10-16,South,Tablet,18,75,1350,Card
ORD0138,2025-08-14,North,Tablet,2,40,80,Card
ORD0139,2025-10-12,West,Monitor,5,25,125,Cash
ORD0140,2025-03-07,East,Laptop,16,40,640,Card
ORD0141,2025-05-07,South,Tablet,18,25,450,UPI
ORD0142,2025-08-05,North,Mouse,19,120,2280,Card
ORD0143,2025-10-09,West,Keyboard,16,800,12800,Card
ORD0144,2025-08-22,South,Keyboard,17,120,2040,Card
ORD0145,2025-07-03,North,Tablet,1,25,25,Bank Transfer
ORD0146,2025-02-11,South,Mouse,7,350,2450,Card
ORD0147,2025-02-10,East,Tablet,13,120,1560,Bank Transfer
ORD0148,2025-04-14,West,Keyboard,7,40,280,Cash
ORD0149,2025-10-08,East,Laptop,4,25,100,Bank Transfer
ORD0150,2025-06-04,West,Laptop,14,800,11200,UPI
ORD0151,2025-06-25,South,Monitor,10,40,400,Card
ORD0152,2025-04-13,South,Mouse,4,800,3200,Bank Transfer
ORD0153,2025-12-03,South,Monitor,16,40,640,UPI
ORD0154,2025-11-02,South,Keyboard,2,25,50,UPI
ORD0155,2025-11-15,West,Keyboard,3,120,360,Bank Transfer
ORD0156,2025-11-03,West,Mouse,6,350,2100,UPI
ORD0157,2025-12-24,West,Laptop,6,75,450,Cash
ORD0158,2025-11-14,North,Monitor,5,800,4000,Bank Transfer
ORD0159,2025-07-31,North,Mouse,18,40,720,Cash
ORD0160,2025-10-01,West,Phone,18,25,450,UPI
ORD0161,2025-03-18,South,Tablet,2,800,1600,Cash
ORD0162,2025-07-19,South,Phone,15,120,1800,Card
ORD0163,2025-02-27,West,Phone,16,120,1920,Bank Transfer
ORD0164,2025-04-28,West,Laptop,2,75,150,Cash
ORD0165,2025-09-19,South,Keyboard,13,40,520,Bank Transfer
ORD0166,2025-03-06,North,Keyboard,9,25,225,Cash
ORD0167,2025-10-12,South,Monitor,6,800,4800,Card
ORD0168,2025-09-02,West,Tablet,9,800,7200,UPI
ORD0169,2025-03-01,South,Monitor,7,350,2450,Cash
ORD0170,2025-10-01,West,Phone,20,350,7000,UPI
ORD0171,2025-02-17,North,Tablet,14,800,11200,Cash
ORD0172,2025-06-13,West,Mouse,1,120,120,UPI
ORD0173,2025-07-31,South,Monitor,4,75,300,Bank Transfer
ORD0174,2025-01-22,North,Monitor,10,800,8000,UPI
ORD0175,2025-09-23,West,Tablet,7,40,280,Cash
ORD0176,2025-09-02,North,Keyboard,9,75,675,Cash
ORD0177,2025-05-05,South,Monitor,2,75,150,Bank Transfer
ORD0178,2025-07-01,North,Phone,14,800,11200,Card
ORD0179,2025-09-17,West,Mouse,18,75,1350,Cash
ORD0180,2025-01-19,West,Keyboard,6,350,2100,UPI
ORD0181,2025-07-24,East,Monitor,4,350,1400,UPI
ORD0182,2025-11-06,North,Tablet,7,40,280,Card
ORD0183,2025-04-16,South,Tablet,19,25,475,Card
ORD0184,2025-07-13,West,Monitor,8,75,600,Cash
ORD0185,2025-04-05,East,Phone,7,120,840,Card
ORD0186,2025-05-26,East,Tablet,6,75,450,Card
ORD0187,2025-10-09,South,Laptop,6,40,240,Bank Transfer
ORD0188,2025-05-31,South,Tablet,3,120,360,Cash
ORD0189,2025-03-18,South,Phone,10,25,250,Bank Transfer
ORD0190,2025-12-29,North,Tablet,13,40,520,UPI
ORD0191,2025-06-30,East,Phone,4,800,3200,UPI
ORD0192,2025-04-07,South,Keyboard,3,350,1050,Card
ORD0193,2025-03-13,East,Monitor,19,120,2280,Bank Transfer
ORD0194,2025-05-06,North,Mouse,2,40,80,Card
ORD0195,2025-04-15,South,Phone,15,25,375,UPI
ORD0196,2025-04-22,North,Phone,5,75,375,Card
ORD0197,2025-06-15,South,Phone,17,75,1275,Card
ORD0198,2025-01-22,East,Monitor,14,40,560,Bank Transfer
ORD0199,2025-09-17,West,Tablet,14,120,1680,Card
ORD0200,2025-06-14,East,Laptop,1,75,75,Cash
